HQS率0.0%,SQS率0.0%,被打率.196,被BABIP.229,被出塁率.327,被長打率.293,K/BB1.18,K/96.75,BB/95.74,HR/90.68,GO/AO1.08,援護率4.00,IPR99.00,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.27,75.3%,-1.32,-0.16,-2.19,90,0.0,27,12,1.0,0,0,1,
