NOI0.0,GPA.000,RC-0.07,RC27-0.90,XR-0.06,XR27-0.78,RCAA-0.26,XR+-0.25,RCWIN-0.03,XRWIN-0.03,BABIP-
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,2.00,0.000,-,0.000,0.000,-,50.0%,
