アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,28,37.3%,安打,17,70.8%
フライ,20,26.7%,四死球,7,29.2%
空三振,22,29.3%,失策出塁,0,0.0%
見三振,5,6.7%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
