HQS率25.0%,SQS率25.0%,被打率.213,被BABIP.248,被出塁率.276,被長打率.331,K/BB2.46,K/96.35,BB/92.58,HR/90.60,GO/AO0.81,援護率3.83,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.15,79.9%,3.46,0.41,1.97,166,0.0,47,20,0.0,0,0,0,
