種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
Home,3.2,5,5,0,2,2,0,0,0,0,0,0,25.1,22,2,19,12,1,9,9,1.34,0.25,4.13,-
Visitor,1.8,3,3,0,1,0,0,0,0,0,0,0,20.0,12,1,13,1,0,4,4,0.65,0.167,3.52,-
