HQS率8.3%,SQS率8.3%,被打率.258,被BABIP.282,被出塁率.293,被長打率.377,K/BB3.60,K/94.93,BB/91.37,HR/90.82,GO/AO1.04,援護率5.05,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.33,87.1%,7.40,0.86,8.18,257,0.0,73,41,0.0,0,0,0,
