防御率2.74,試合23,先発23,救援0,連投(試)0,連投(日)0,勝利12,敗戦6,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投1,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.667,144.2,577,2257,15.6,113,12,115,36,1,5,0,0,52,44,1.03,73.9%
