球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,667,29.6%,146.1,56,135,142,210,49.9%,17.4%,0.255,141,36,4,22,16,0
フォーク,453,20.1%,136.5,81,51,84,137,47.7%,30.6%,0.184,136,25,1,39,3,0
カーブ,236,10.5%,120.8,29,56,24,97,46.2%,34.9%,0.159,44,7,1,14,4,0
カットボール,215,9.5%,141.0,27,32,55,58,53.0%,21.6%,0.235,51,12,3,8,3,0
スライダー,212,9.4%,130.1,23,54,29,76,50.0%,28.0%,0.233,43,10,1,13,4,0
ツーシーム,212,9.4%,144.5,14,22,45,89,38.2%,13.9%,0.244,45,11,1,4,4,3
パワーカーブ,162,7.2%,125.3,22,38,23,52,51.2%,30.6%,0.167,42,7,0,15,1,2
チェンジアップ,100,4.4%,132.0,5,18,17,35,40.0%,10.6%,0.2,25,5,1,0,0,0
