NOI341.7,GPA.180,RC11.46,RC272.00,XR11.51,XR272.00,RCAA-7.83,XR+-7.89,RCWIN-0.92,XRWIN-0.93,BABIP.263
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.25,0.062,16.92,4.23,0.066,-,0.133,0.419,0.00,29.6%,
