条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.161,125,112,18,4,0,0,30,8,3,2,0
対左投手,0.246,78,69,17,4,2,0,18,4,0,5,0
