アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,62,41.3%,安打,35,66.0%
フライ,34,22.7%,四死球,15,28.3%
空三振,38,25.3%,失策出塁,3,5.7%
見三振,10,6.7%,野選,0,0.0%
犠打,6,4.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
