左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
31.3% (26),31.3% (26),31.3% (26),18.1% (15),18.1% (15),18.1% (15),50.6% (42),50.6% (42),50.6% (42)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
10.0% (2),- (0),38.1% (24),25.0% (5),- (0),15.9% (10),65.0% (13),- (0),46.0% (29)
