NOI394.2,GPA.208,RC11.01,RC272.83,XR10.76,XR272.77,RCAA-2.30,XR+-2.62,RCWIN-0.27,XRWIN-0.31,BABIP.320
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.24,0.045,20.00,4.83,0.063,-,0.119,0.475,0.00,25.7%,
