HQS率0.0%,SQS率0.0%,被打率.290,被BABIP.346,被出塁率.402,被長打率.467,K/BB1.32,K/98.33,BB/96.33,HR/91.33,GO/AO0.65,援護率0.00,IPR1.64,NHB%8.3%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.81,72.7%,-7.97,-0.92,-8.88,101,11.2,4,0,23.0,14,1,7,
