球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ツーシーム,109,42.9%,140.0,9,24,11,44,40.4%,22.0%,.208,24,5,0,4,3,0
ストレート,73,28.7%,141.0,0,24,8,28,43.8%,0.0%,.500,14,7,3,2,6,1
スライダー,58,22.8%,122.8,5,13,3,30,36.2%,33.3%,.200,10,2,0,3,1,1
シンカー,8,3.1%,127.6,0,0,1,6,12.5%,0.0%,.000,1,0,0,0,1,1
カットボール,6,2.4%,134.2,1,0,0,5,16.7%,100.0%,-,0,0,0,0,0,0
