防御率3.35,試合55,先発0,救援55,連投(試)3,連投(日)2,勝利1,敗戦2,HLD21,Ｓ8,ＨＰ22,ＳＰ9,救勝1,救敗2,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.333,51.0,222,869,17.0,54,3,54,17,3,3,4,0,20,19,1.39,-
