左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
40.9% (67),40.9% (67),40.9% (67),25.6% (42),25.6% (42),25.6% (42),33.5% (55),33.5% (55),33.5% (55)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
40.7% (22),100.0% (4),38.7% (41),29.6% (16),0.0% (0),24.5% (26),29.6% (16),0.0% (0),36.8% (39)
