打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,88,25,0.284,5,19,15,0,0,0.388
2打席目,90,18,0.2,4,31,12,0,1,0.291
3打席目,91,22,0.242,3,29,10,0,1,0.314
4打席目,78,21,0.269,7,28,16,0,1,0.389
5打席目以上,12,6,0.5,1,1,8,0,0,0.7
