球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,626,35.5%,146.7,52,101,131,248,45.4%,18.8%,.313,128,40,12,35,21,2
スライダー,322,18.3%,130.3,59,61,34,125,47.8%,43.4%,.246,69,17,1,26,9,0
カットボール,201,11.4%,137.4,24,27,30,81,40.3%,25.8%,.184,49,9,2,10,6,1
チェンジアップ,164,9.3%,128.4,33,15,19,78,40.9%,46.5%,.212,33,7,3,14,7,0
フォーク,140,7.9%,135.1,36,21,14,56,50.7%,57.1%,.185,27,5,1,14,4,0
カーブ,97,5.5%,116.9,9,25,4,48,39.2%,37.5%,.308,13,4,0,2,2,0
シュート,64,3.6%,144.8,7,11,9,23,42.2%,23.3%,.375,16,6,0,3,1,1
ツーシーム,60,3.4%,142.4,6,11,5,28,36.7%,28.6%,.250,12,3,0,2,4,0
スプリット,57,3.2%,138.9,13,7,9,22,50.9%,46.4%,.143,7,1,1,2,0,0
ナックルカーブ,22,1.2%,126.9,0,7,1,11,36.4%,0.0%,.000,4,0,0,1,0,0
シンカー,5,0.3%,127.2,0,2,0,2,40.0%,0.0%,.000,1,0,0,0,1,0
縦スライダー,3,0.2%,132.0,0,0,0,2,0.0%,0.0%,.000,1,0,0,0,0,0
スクリュー,1,0.1%,136.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
高速スライダー,1,0.1%,140.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
