NOI529.8,GPA.287,RC63.35,RC276.00,XR63.19,XR275.99,RCAA22.67,XR+22.29,RCWIN2.67,XRWIN2.63,BABIP.308
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.56,0.111,7.02,3.93,0.233,18.00,0.400,0.851,3.64,44.4%,
