打率.256,試合108,打席428,打数360,得点38,安打92,内安8,内安率8.7,２Ｂ22,３Ｂ1,本塁20,HR勝敗10-9-0,塁打176,打点58,三振109
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
61,6,4,0,3,2,3,40.0,2,0,11,.245,.367,.489,.856
