打順,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
Home,0.244,46,148,135,10,33,11,0,1,47,17,17,5,1,0,3,5,0,0,0,0.262,0.348,0.61
Visitor,0.275,58,196,178,12,49,8,2,2,67,24,23,11,1,4,1,2,0,0,3,0.328,0.376,0.705
