アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,90,37.7%,安打,82,78.1%
フライ,106,44.4%,四死球,20,19.0%
空三振,30,12.6%,失策出塁,3,2.9%
見三振,10,4.2%,野選,0,0.0%
犠打,3,1.3%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
