左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
26.0% (71),26.0% (71),26.0% (71),26.7% (73),26.7% (73),26.7% (73),47.3% (129),47.3% (129),47.3% (129)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
18.2% (14),0.0% (0),29.8% (57),35.1% (27),0.0% (0),24.1% (46),46.8% (36),100.0% (5),46.1% (88)
