守備位置,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
捕手,.236,91,366,318,26,75,22,0,5,112,32,65,38,2,3,4,3,0,0,5,.320,.352,0.673
一塁手,.300,3,12,10,1,3,3,0,0,6,2,2,2,0,0,0,0,0,0,0,.417,.600,1.017
二塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
三塁手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
遊撃手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
左翼手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
中堅手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
右翼手,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0.0
指名打者,.400,3,12,10,2,4,1,1,0,7,3,2,1,0,1,0,0,1,0,0,.500,.700,1.2
途中出場,.000,7,9,7,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,1,.222,.000,0.222
