打率.268,試合25,打席59,打数56,得点3,安打15,内安3,内安率20.0,２Ｂ1,３Ｂ0,本塁2,HR勝敗0-2-0,塁打22,打点2,三振16
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
2,0,0,1,0,0,0,-,1,0,2,.167,.293,.393,.686
