NOI424.1,GPA.230,RC5.76,RC273.53,XR5.76,XR273.54,RCAA0.15,XR+0.12,RCWIN0.02,XRWIN0.01,BABIP.342
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.13,0.025,29.50,3.69,0.125,28.00,0.161,0.558,0.00,33.9%,
