左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
50.0% (20),50.0% (20),50.0% (20),20.0% (8),20.0% (8),20.0% (8),30.0% (12),30.0% (12),30.0% (12)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
61.5% (8),100.0% (2),40.0% (10),15.4% (2),0.0% (0),24.0% (6),23.1% (3),0.0% (0),36.0% (9)
