球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,567,45.6%,149.3,30,85,133,209,43.7%,11.0%,0.258,124,32,2,18,11,4
スプリット,269,21.6%,140.6,56,41,47,75,53.5%,36.6%,0.25,80,20,0,30,9,0
カットボール,254,20.4%,135.9,54,46,38,81,54.3%,42.5%,0.13,54,7,1,19,4,1
カーブ,145,11.7%,119.1,8,30,17,73,37.9%,19.0%,0.25,20,5,1,3,1,0
スライダー,7,0.6%,137.4,1,0,3,2,57.1%,20.0%,0.0,1,0,0,0,0,0
チェンジアップ,1,0.1%,142.0,0,0,0,0,0.0%,0.0%,0.0,1,0,0,0,0,0
ツーシーム,1,0.1%,-,0,0,0,0,0.0%,0.0%,1.0,1,1,0,0,0,0
