種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
DayGame,2.95,7,7,0,2,2,0,0,0,0,0,0,39.2,33,2,39,15,2,13,13,1.21,0.228,2.7,-
Nighter,3.19,6,6,0,2,2,0,0,0,0,0,0,36.2,32,2,31,10,3,13,13,1.15,0.235,3.0,-
