条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.149,141,114,17,4,1,0,31,14,5,8,0
対左投手,0.216,90,74,16,3,1,1,16,9,0,6,1
