球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,816,47.9%,144.9,40,124,205,274,45.2%,9.6%,0.339,189,64,4,22,20,2
スライダー,484,28.4%,128.1,54,105,76,157,48.6%,24.3%,0.246,118,29,1,30,3,1
ツーシーム,254,14.9%,135.2,50,31,34,86,45.3%,36.5%,0.185,65,12,2,13,3,0
カットボール,92,5.4%,138.1,19,14,15,23,52.2%,34.5%,0.286,28,8,1,7,1,0
チェンジアップ,49,2.9%,129.7,7,3,5,22,30.6%,29.2%,0.25,16,4,0,4,0,0
カーブ,10,0.6%,116.5,0,0,1,7,10.0%,0.0%,0.5,2,1,0,0,0,0
