アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,25,49.0%,安打,21,75.0%
フライ,13,25.5%,四死球,5,17.9%
空三振,8,15.7%,失策出塁,1,3.6%
見三振,5,9.8%,野選,1,3.6%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
