球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,109,37.7%,148.2,4,13,30,32,43.1%,6.3%,0.485,33,16,3,3,1,0
スライダー,43,14.9%,130.8,6,5,8,17,44.2%,28.6%,0.125,8,1,1,1,1,0
カットボール,34,11.8%,139.9,8,3,10,6,61.8%,32.0%,0.111,9,1,0,2,1,0
フォーク,26,9.0%,137.1,4,2,4,13,38.5%,36.4%,0.2,5,1,0,2,0,0
カーブ,18,6.2%,119.9,1,2,6,6,50.0%,10.0%,0.0,3,0,0,0,0,0
スプリット,17,5.9%,139.6,1,2,2,9,29.4%,16.7%,0.667,3,2,0,0,0,0
チェンジアップ,13,4.5%,127.6,2,1,0,8,23.1%,50.0%,0.0,3,0,0,1,0,0
ツーシーム,10,3.5%,144.7,2,4,0,3,60.0%,66.7%,0.0,2,0,0,1,1,0
ナックルカーブ,7,2.4%,125.4,3,1,0,2,57.1%,75.0%,0.0,2,0,0,1,0,0
パワーカーブ,5,1.7%,125.6,1,0,2,2,60.0%,33.3%,0.0,1,0,0,1,0,0
シンカー,3,1.0%,139.0,0,0,1,0,33.3%,0.0%,0.0,2,0,0,0,0,0
縦スライダー,2,0.7%,130.5,1,0,0,1,50.0%,100.0%,0.0,1,0,0,1,0,0
シュート,2,0.7%,141.5,0,0,0,1,0.0%,0.0%,0.0,1,0,0,0,0,0
