打率.288,試合20,打席78,打数73,得点12,安打21,内安1,内安率4.8,２Ｂ3,３Ｂ0,本塁4,HR勝敗3-1-0,塁打36,打点9,三振13
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
5,1,0,0,0,0,0,-,0,0,1,.200,.333,.493,.826
