NOI621.8,GPA.324,RC3.73,RC2710.07,XR3.43,XR279.27,RCAA1.86,XR+1.54,RCWIN0.21,XRWIN0.18,BABIP.471
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
1.00,0.029,19.00,19.00,0.000,-,0.056,0.900,-,10.5%,
