球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,32,57.1%,146.5,0,7,2,13,28.1%,0.0%,0.5,10,5,0,0,1,0
カットボール,8,14.3%,138.0,0,1,2,3,37.5%,0.0%,1.0,2,2,0,0,0,0
スプリット,4,7.1%,137.3,1,2,1,0,100.0%,50.0%,0.0,1,0,0,1,0,0
カーブ,3,5.4%,113.5,0,0,0,2,0.0%,0.0%,0.0,1,0,0,0,0,0
フォーク,3,5.4%,139.0,0,0,0,2,0.0%,0.0%,0.0,1,0,0,0,0,0
スライダー,2,3.6%,130.5,0,0,0,1,0.0%,0.0%,0.0,1,0,0,0,0,0
チェンジアップ,2,3.6%,128.0,0,0,0,1,0.0%,0.0%,1.0,1,1,0,0,0,0
シュート,2,3.6%,143.0,0,0,0,1,0.0%,0.0%,0.0,1,0,0,0,0,0
