アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,13,31.7%,安打,13,68.4%
フライ,11,26.8%,四死球,5,26.3%
空三振,11,26.8%,失策出塁,1,5.3%
見三振,6,14.6%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
