HQS率25.0%,SQS率25.0%,被打率.220,被BABIP.232,被出塁率.283,被長打率.371,K/BB2.00,K/95.52,BB/92.76,HR/91.18,GO/AO0.78,援護率3.96,IPR5.75,NHB%28.6%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.04,78.8%,-0.42,-0.05,-1.92,277,2.0,25,11,23.0,4,6,19,
