防御率3.35,試合25,先発4,救援21,連投(試)0,連投(日)0,勝利2,敗戦2,HLD12,Ｓ0,ＨＰ12,ＳＰ0,救勝0,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.500,45.2,180,654,14.3,35,6,28,14,2,0,0,0,17,17,1.07,25.0%
