HQS率0.0%,SQS率0.0%,被打率.238,被BABIP.250,被出塁率.238,被長打率.476,K/BB-,K/96.00,BB/90.00,HR/91.50,GO/AO1.40,援護率5.40,IPR99.00,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.60,83.3%,0.18,0.02,-0.02,28,0.0,5,3,1.0,0,0,1,
