NOI261.1,GPA.127,RC0.36,RC270.36,XR0.61,XR270.61,RCAA-2.68,XR+-2.45,RCWIN-0.32,XRWIN-0.29,BABIP.125
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.67,0.140,8.00,5.33,0.000,-,0.182,0.286,0.00,31.3%,
