球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,305,41.7%,147.5,38,40,83,93,52.8%,22.1%,.250,60,15,2,9,2,0
スライダー,105,14.4%,130.5,18,8,18,31,41.9%,27.3%,.194,36,7,0,6,0,0
フォーク,93,12.7%,136.2,20,0,22,27,45.2%,30.3%,.147,34,5,0,10,1,1
カットボール,61,8.3%,137.0,8,5,20,11,54.1%,17.8%,.222,18,4,0,1,0,0
チェンジアップ,52,7.1%,127.0,12,3,7,16,42.3%,36.4%,.235,17,4,0,4,0,0
カーブ,32,4.4%,116.3,8,3,2,14,40.6%,53.3%,.000,7,0,0,2,0,0
ツーシーム,28,3.8%,144.2,2,1,5,8,28.6%,10.5%,.385,13,5,0,1,0,0
シュート,21,2.9%,143.0,0,4,1,10,23.8%,0.0%,.667,6,4,2,0,0,0
スプリット,18,2.5%,139.6,5,1,5,4,61.1%,38.5%,.000,5,0,0,2,0,1
ナックルカーブ,6,0.8%,125.0,2,1,0,3,50.0%,100.0%,.000,2,0,0,2,0,0
パワーカーブ,5,0.7%,122.2,2,0,1,1,60.0%,50.0%,1.000,1,1,0,0,0,0
シンカー,4,0.5%,136.3,0,0,1,1,25.0%,0.0%,.500,2,1,0,0,0,0
スローカーブ,1,0.1%,88.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
