条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.234,264,239,56,16,0,6,48,16,5,2,2
対左打者,0.264,352,322,85,8,2,4,40,25,1,3,1
