防御率3.04,試合24,先発24,救援0,連投(試)1,連投(日)1,勝利8,敗戦9,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.471,148.0,616,2386,16.1,141,10,88,41,0,6,7,1,56,50,1.23,62.5%
