条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,4,0,3,1,0,1,0,0,3,0,0,0,12
敗戦,2,6,5,7,8,6,1,1,0,0,0,0,36
勝敗無,3,0,0,2,1,2,0,0,0,0,0,0,8
