HQS率33.3%,SQS率37.5%,被打率.251,被BABIP.281,被出塁率.308,被長打率.355,K/BB2.15,K/95.35,BB/92.49,HR/90.61,GO/AO1.26,援護率3.00,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.38,75.9%,-1.00,-0.12,-0.02,524,0.0,159,53,0.0,0,0,0,
