球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,1001,42.0%,149.8,39,167,202,358,40.8%,8.2%,0.275,255,70,6,22,19,4
フォーク,508,21.3%,141.2,72,56,86,192,42.1%,27.7%,0.195,133,26,1,31,11,1
縦スライダー,494,20.7%,129.9,55,122,61,183,48.2%,29.1%,0.229,96,22,2,25,8,0
カットボール,310,13.0%,142.5,32,46,70,102,47.7%,19.8%,0.313,64,20,1,8,3,1
カーブ,68,2.8%,120.3,1,12,8,37,30.9%,5.3%,0.273,11,3,0,1,0,0
スライダー,3,0.1%,132.3,0,0,1,1,33.3%,0.0%,0.0,1,0,0,0,0,0
ナックルカーブ,2,0.1%,124.5,1,0,0,1,50.0%,100.0%,0.0,1,0,0,1,0,0
