アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,184,43.5%,安打,141,73.1%
フライ,146,34.5%,四死球,47,24.4%
空三振,68,16.1%,失策出塁,5,2.6%
見三振,20,4.7%,野選,0,0.0%
犠打,5,1.2%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
