球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,461,52.4%,149.7,38,95,91,158,48.6%,18.3%,0.327,98,32,0,25,6,1
フォーク,316,35.9%,137.4,42,38,57,118,43.4%,26.3%,0.175,80,14,0,20,10,0
カーブ,89,10.1%,121.8,4,20,7,48,34.8%,19.0%,0.25,12,3,0,2,0,0
カットボール,10,1.1%,139.7,0,3,1,4,40.0%,0.0%,0.0,2,0,0,0,0,0
ツーシーム,3,0.3%,149.0,0,1,0,1,33.3%,0.0%,0.0,1,0,0,0,0,0
