防御率2.24,試合55,先発0,救援55,連投(試)0,連投(日)0,勝利4,敗戦1,HLD30,Ｓ4,ＨＰ34,ＳＰ8,救勝4,救敗1,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.800,52.1,222,879,16.8,49,0,47,21,5,1,2,0,15,13,1.34,-
