HQS率-,SQS率-,被打率.221,被BABIP.267,被出塁率.313,被長打率.299,K/BB2.00,K/97.42,BB/93.71,HR/90.62,GO/AO1.21,援護率-,IPR3.36,NHB%27.7%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.35,82.7%,3.23,0.37,2.75,481,4.2,0,0,43.2,13,13,41,
