防御率2.47,試合47,先発0,救援47,連投(試)0,連投(日)0,勝利2,敗戦3,HLD33,Ｓ0,ＨＰ35,ＳＰ2,救勝2,救敗3,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.400,43.2,180,651,14.9,34,3,36,18,1,3,2,0,13,12,1.19,-
