防御率1.01,試合27,先発0,救援27,連投(試)0,連投(日)0,勝利1,敗戦0,HLD7,Ｓ0,ＨＰ8,ＳＰ1,救勝1,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
1.000,26.2,106,397,14.9,16,1,28,12,1,0,2,0,3,3,1.05,-
