HQS率-,SQS率-,被打率.176,被BABIP.242,被出塁率.272,被長打率.220,K/BB2.33,K/99.45,BB/94.05,HR/90.34,GO/AO0.62,援護率-,IPR8.89,NHB%44.4%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.36,94.0%,6.91,0.80,6.01,160,3.0,0,0,26.2,3,12,24,
