アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,18,23.1%,安打,16,57.1%
フライ,29,37.2%,四死球,12,42.9%
空三振,24,30.8%,失策出塁,0,0.0%
見三振,4,5.1%,野選,0,0.0%
犠打,3,3.8%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
