NOI316.8,GPA.173,RC0.23,RC270.48,XR0.23,XR270.48,RCAA-1.10,XR+-1.11,RCWIN-0.13,XRWIN-0.13,BABIP.286
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.17,0.060,14.00,2.33,0.154,-,0.231,0.385,0.00,50.0%,
