NOI0.0,GPA.000,RC-2.27,RC27-2.27,XR-2.05,XR27-2.05,RCAA-4.84,XR+-4.63,RCWIN-0.57,XRWIN-0.54,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,1.59,0.000,-,0.000,0.000,-,63.0%,
