NOI0.0,GPA.000,RC-0.49,RC27-2.21,XR-0.44,XR27-1.99,RCAA-1.06,XR+-1.02,RCWIN-0.12,XRWIN-0.12,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,1.50,0.000,-,0.000,0.000,-,66.7%,
