左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
27.8% (15),27.8% (15),27.8% (15),37.0% (20),37.0% (20),37.0% (20),35.2% (19),35.2% (19),35.2% (19)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
14.3% (2),100.0% (1),30.8% (12),50.0% (7),0.0% (0),33.3% (13),35.7% (5),0.0% (0),35.9% (14)
