条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,0,0,0,0,1,0,0,0,0,0,0,0,1
敗戦,7,2,10,4,11,8,0,0,0,0,0,0,42
勝敗無,1,4,1,5,0,1,0,0,0,0,0,0,12
