球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,69,47.9%,144.7,3,13,13,27,42.0%,10.3%,0.333,15,5,1,3,2,0
カーブ,40,27.8%,125.2,0,12,5,20,42.5%,0.0%,0.75,4,3,0,1,1,0
スライダー,22,15.3%,133.9,1,3,2,6,27.3%,7.7%,0.5,8,4,0,0,1,0
フォーク,13,9.0%,136.9,0,1,1,8,15.4%,0.0%,0.333,3,1,0,0,0,0
