NOI465.5,GPA.245,RC78.23,RC274.94,XR76.48,XR274.82,RCAA17.59,XR+15.52,RCWIN2.07,XRWIN1.83,BABIP.324
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.68,0.069,10.63,7.25,0.073,191.00,0.218,0.675,5.49,23.7%,
