打率.279,試合140,打席638,打数573,得点76,安打160,内安17,内安率10.6,２Ｂ25,３Ｂ4,本塁3,HR勝敗3-0-0,塁打202,打点34,三振88
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
60,1,2,0,3,32,9,78.0,3,0,3,.240,.348,.353,.700
